id_tramite,nombre_tramite,organo_rector,fecha_publicacion_produccion,marca_arancelado,link_de_acceso,validador_identidad,anio,mes,trimestre,dia,dia_semana,valida_AFIP,valida_Mi_argentina,valida_ANSES,valida_DNI,valida_NIC-AFIP
425,"NICar - Registros, Renovaciones y Otras Operaciones",Secretaría Legal y Técnica,2016-06-15,True,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=425,['NIC-AFIP'],2016,6,2,15,Wednesday,False,False,False,False,True
430,SIPRO Inscripción Proveedor  Persona Jurídica,Jefatura de Gabinete de Ministros,2016-07-07,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=430,"['Mi argentina', 'AFIP']",2016,7,3,7,Thursday,True,True,False,False,False
431,SIPRO Actualización Proveedor  Agrupación de Colaboración / Unión Transitoria de Empresas,Jefatura de Gabinete de Ministros,2016-07-07,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=431,"['Mi argentina', 'AFIP']",2016,7,3,7,Thursday,True,True,False,False,False
432,SIPRO Inscripción Proveedor  Agrupación de Colaboración / Unión Transitoria de Empresas,Jefatura de Gabinete de Ministros,2016-07-07,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=432,"['Mi argentina', 'AFIP']",2016,7,3,7,Thursday,True,True,False,False,False
433,"SIPRO Inscripción Proveedor  Cooperativas, Mutuales, Sociedades de Hecho y Otros",Jefatura de Gabinete de Ministros,2016-07-07,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=433,"['Mi argentina', 'AFIP']",2016,7,3,7,Thursday,True,True,False,False,False
434,SIPRO - Actualizacion Proveedor - Persona Humana,Jefatura de Gabinete de Ministros,2016-07-07,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=434,"['Mi argentina', 'AFIP']",2016,7,3,7,Thursday,True,True,False,False,False
435,SIPRO Actualización Proveedor  Persona Jurídica,Jefatura de Gabinete de Ministros,2016-07-07,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=435,"['Mi argentina', 'AFIP']",2016,7,3,7,Thursday,True,True,False,False,False
436,"SIPRO Actualización Proveedor  Cooperativas, Mutuales, Sociedades de Hecho y Otros",Jefatura de Gabinete de Ministros,2016-07-07,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=436,"['Mi argentina', 'AFIP']",2016,7,3,7,Thursday,True,True,False,False,False
447,Certificado de Vigencia de Matrículas,Ministerio de Justicia,2016-08-22,True,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=447,"['Mi argentina', 'AFIP']",2016,8,3,22,Monday,True,True,False,False,False
448,URGENTE Certificado de Vigencia de Matrículas,Ministerio de Justicia,2016-08-22,True,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=448,"['Mi argentina', 'AFIP']",2016,8,3,22,Monday,True,True,False,False,False
449,Pedidos de Informes a IGJ,Ministerio de Justicia,2016-08-22,True,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=449,"['Mi argentina', 'AFIP']",2016,8,3,22,Monday,True,True,False,False,False
450,Pedido de informes tasas o balances,Ministerio de Justicia,2016-08-22,True,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=450,"['Mi argentina', 'AFIP']",2016,8,3,22,Monday,True,True,False,False,False
451,Copias y Testimonios,Ministerio de Justicia,2016-08-22,True,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=451,"['Mi argentina', 'AFIP']",2016,8,3,22,Monday,True,True,False,False,False
452,URGENTE Copias y Testimonios,Ministerio de Justicia,2016-08-22,True,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=452,"['Mi argentina', 'AFIP']",2016,8,3,22,Monday,True,True,False,False,False
453,NICar: Descargo de Disputa,Secretaría Legal y Técnica,2016-09-01,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=453,['NIC-AFIP'],2016,9,3,1,Thursday,False,False,False,False,True
455,Ley de Silos Nº 19.076,Jefatura de Gabinete de Ministros,2016-10-26,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=455,"['Mi argentina', 'AFIP']",2016,10,4,26,Wednesday,True,True,False,False,False
456,Solicitud de entrega en custodia,Jefatura de Gabinete de Ministros,2016-09-09,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=456,"['Mi argentina', 'AFIP']",2016,9,3,9,Friday,True,True,False,False,False
465,Certificaciones (no eléctricas) - Nota de Apertura Sin Derecho a Uso,Ministerio de Economía,2016-09-28,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=465,"['Mi argentina', 'AFIP']",2016,9,3,28,Wednesday,True,True,False,False,False
466,Certificaciones (no eléctricas) - Permiso de Comercialización,Ministerio de Economía,2016-09-28,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=466,"['Mi argentina', 'AFIP']",2016,9,3,28,Wednesday,True,True,False,False,False
468,Certificaciones eléctricas - Cierre de Adaptación al Mercado Local (AML),Ministerio de Economía,2016-09-28,False,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=468,"['Mi argentina', 'AFIP']",2016,9,3,28,Wednesday,True,True,False,False,False
